Llama-3.1-8B-Instruct
Llama-3.3-70B-Instruct
Qwen-Image
Qwen2.5-VL-32B-Instruct
Qwen3-8B
Qwen3-Embedding-8B
Qwen3-Reranker-4B
Qwen3-VL-30B-A3B-Instruct
deepseek-r1-70b
faster-whisper-large-v3
gemma-3-27b-it
gpt-oss-120b
gte-Qwen2
llama-guard3-8b
maestrale-chat-v0.4-beta
mistral-small3.2
qwen3-30b
qwen3-coder-30b
